"Account Receivable and Payable data from a large manufacturer called WMS Pte Ltd, which has global operations. ",,,,,,,,,,,,





Header ,Description,,,,,,,,,,,
Country,WMS Country of operation,,,,,,,,,,,
Partner,Name of Partner,,,,,,,,,,,
ParternType,Customer or Supplier.  Customer for sales invoices and partner for purchases invoices.  Credit and Debit notes also included in the dataset,,,,,,,,,,,
Bank,Bank of WMS in the Coutry of Operation,,,,,,,,,,,
BankAccount,Bank Account of WMS in the Coutry of Operation,,,,,,,,,,,
invoiceNumber,,,,,,,,,,,,
InvoiceDate,,,,,,,,,,,,
DueDate,,,,,,,,,,,,
PaymentTerms,Days allowed for the invoice to be paid,,,,,,,,,,,
InvoiceCurrency,,,,,,,,,,,,
InvoiceAmount,,,,,,,,,,,,
SettlmentCurrency,,,,,,,,,,,,
CurrencyPair,,,,,,,,,,,,
SettlementAmount,,,,,,,,,,,,
SettledAmountUSD,Everything should be changed in the reporting currency ,,,,,,,,,,,
SettledDate,,,,,,,,,,,,
DocumentType,"Type of invoice: sales, purchase, credit or debit note",,,,,,,,,,,
Country,Partner,ParternType,Bank,BankAccount,invoiceNumber,InvoiceDate,DueDate,PaymentTerms,InvoiceCurrency,InvoiceAmount,SettlmentCurrency,CurrencyPair,SettlementAmount,SettledAmountUSD,SettledDate,DocumentType
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,3714895880,1/12/2018,2/11/2018,30,AUD,92.862,AUD,AUD/AUD,92.86,133.21,2/9/2018,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,3267863711,1/15/2018,2/14/2018,30,AUD,51.795,AUD,AUD/AUD,51.8,74.31,2/13/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,2110257500,1/31/2018,3/2/2018,30,AUD,15.463,AUD,AUD/AUD,15.46,22.18,3/13/2018,Purchase Invoice
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,700682941,2/15/2018,3/16/2018,29,AUD,52.536,AUD,AUD/AUD,52.54,75.37,3/15/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,6546749565,2/16/2018,3/17/2018,29,AUD,49.14,AUD,AUD/AUD,49.14,70.49,3/28/2018,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,2872499775,3/31/2018,4/30/2018,30,AUD,80.892,AUD,AUD/AUD,80.89,116.04,4/24/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,3961517794,3/11/2018,4/10/2018,30,AUD,61.794,AUD,AUD/AUD,61.79,88.64,4/30/2018,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,7786851151,4/18/2018,5/18/2018,30,AUD,53.766,AUD,AUD/AUD,53.77,77.13,5/12/2018,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,4041879737,4/20/2018,5/20/2018,30,AUD,93.48,AUD,AUD/AUD,93.48,134.1,5/16/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,572998154,4/26/2018,,,AUD,-49.014,AUD,AUD/AUD,-49.01,-70.3,5/30/2018,Debit Note
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,9934734069,5/4/2018,6/3/2018,30,AUD,59.352,AUD,AUD/AUD,59.35,85.14,6/2/2018,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,2979360176,5/11/2018,,,AUD,-114.037,AUD,AUD/AUD,-114.04,-163.59,6/3/2018,Debit Note
Australia,UC Logistics Australia,Supplier,National Australian Bank (NAB),72236140,889501203,5/5/2018,6/4/2018,30,AUD,116.472,AUD,AUD/AUD,116.47,167.08,6/4/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,8772169869,5/27/2018,6/26/2018,30,AUD,77.662,AUD,AUD/AUD,77.66,111.4,6/25/2018,Purchase Invoice
Australia,G&S Logistics,Supplier,National Australian Bank (NAB),72236140,1102282515,5/27/2018,6/26/2018,30,AUD,84.81,AUD,AUD/AUD,84.81,121.66,6/28/2018,Purchase Invoice
Australia,SCT Logistics,Supplier,National Australian Bank (NAB),72236140,9163368807,6/9/2018,7/9/2018,30,AUD,43.75,AUD,AUD/AUD,43.75,62.76,7/2/2018,Purchase Invoice
Australia,CEVA Logistics,Supplier,National Australian Bank (NAB),72236140,6346700634,5/15/2018,6/14/2018,30,AUD,20.993,AUD,AUD/AUD,20.99,30.11,7/4/2018,Purchase Invoice
